โจทย์,เฉลย
it / swim / yesterday,it swam yesterday.
it / swim / last week,it swam last week.
it / swim / an hour ago,it swam an hour ago.
it / swim / tomorrow,it will swim tomorrow.
it / swim / next week,it will swim next week.
it / swim / soon,it will swim soon.
it / learn / always,it always learns.
it / learn / sometimes,it sometimes learns.
it / learn / never,it never learns.
it / learn / now,it is learning now.
it / learn / at the moment,it is learning at the moment.
it / learn / right now,it is learning right now.
it / learn / yesterday,it learned yesterday.
it / learn / last week,it learned last week.
it / learn / an hour ago,it learned an hour ago.
it / learn / tomorrow,it will learn tomorrow.
it / learn / next week,it will learn next week.
it / learn / soon,it will learn soon.
it / shout / always,it always shouts.
it / shout / sometimes,it sometimes shouts.
it / shout / never,it never shouts.
it / shout / now,it is shouting now.
it / shout / at the moment,it is shouting at the moment.
it / shout / right now,it is shouting right now.
it / shout / yesterday,it shouted yesterday.
it / shout / last week,it shouted last week.
it / shout / an hour ago,it shouted an hour ago.
it / shout / tomorrow,it will shout tomorrow.
it / shout / next week,it will shout next week.
it / shout / soon,it will shout soon.
